Tag,RSSI_dBm,Antenna,Time_ms
E2801170000002076A509D75,70,2,2689288
E2801170000002076A509476,71,2,2689356
E2801170000002076A509D75,66,2,2689357
E2801170000002076A509D75,63,2,2689358
E2801170000002076A509D72,66,2,2689359
E2801170000002076A509D75,62,2,2689360
E2801170000002076A509D75,60,2,2689396
E2801170000002076A509D75,69,3,2689540
E2801170000002076A509D72,77,3,2689558
E2801170000002076A509D75,70,3,2689581
E2801170000002076A509D72,70,2,2690440
E2801170000002076A508C72,70,2,2690507
E2801170000002076A509D75,72,2,2690508
E2801170000002076A508C72,73,2,2690509
E2801170000002076A509D72,70,2,2690510
E2801170000002076A509D72,70,2,2690530
E2801170000002076A509D72,69,2,2690553
E2801170000002076A508C72,71,2,2690554
E2801170000002076A509D72,67,2,2690571
E2801170000002076A508C72,68,2,2690572
E2801170000002076A508C72,63,1,2691508
E2801170000002076A509D72,62,1,2691576
E2801170000002076A509D72,63,1,2691577
E2801170000002076A508C72,62,1,2691578
E2801170000002076A508C7F,68,1,2691579
E2801170000002076A508C72,73,2,2691665
E2801170000002076A508C7F,67,2,2691682
E2801170000002076A508C72,71,2,2691700
E2801170000002076A508C7F,63,2,2691723
E2801170000002076A508C72,71,2,2691724
E2801170000002076A508C7F,66,1,2692582
E2801170000002076A508C72,68,1,2692656
E2801170000002076A508C7F,68,1,2692657
E2801170000002076A509D72,72,1,2692658
E2801170000002076A508C7F,67,1,2692659
E2801170000002076A508C72,64,1,2692659
E2801170000002076A508C7F,69,1,2692660
E2801170000002076A508C72,65,1,2692661
E2801170000002076A508C7F,61,1,2692672
E2801170000002076A508C7F,62,1,2692690
E2801170000002076A508C7F,60,4,2693667
E2801170000002076A509D72,63,4,2693736
E2801170000002076A508C7F,63,4,2693737
E2801170000002076A508C72,60,4,2693738
E2801170000002076A508C72,72,1,2693829
E2801170000002076A509D72,77,1,2693830
E2801170000002076A508C7F,71,1,2693847
E2801170000002076A508C72,71,1,2693848
E2801170000002076A508C72,64,1,2693860
E2801170000002076A508C7F,59,1,2693878
E2801170000002076A508C7F,64,4,2694765
E2801170000002076A508C72,68,4,2694836
E2801170000002076A508C7F,67,4,2694837
E2801170000002076A508C72,70,4,2694838
E2801170000002076A508C7F,67,4,2694839
E2801170000002076A508C7F,65,4,2694839
E2801170000002076A508C7F,64,4,2694850
E2801170000002076A508C7F,62,4,2694868
E2801170000002076A508C7F,77,1,2695030
E2801170000002076A508C7F,77,1,2695048
